Month,Year,Plot,Replicate,biomass_g
February,2017,CS,C1,0
February,2017,CS,C2,0
February,2017,CS,C3,0
February,2017,MS,U1,0.113
February,2017,MS,U2,0.433
February,2017,MS,U3,0
February,2017,MS,T1,0
February,2017,MS,T2,0
February,2017,MS,T3,0
February,2017,MS,C1,0
February,2017,MS,C2,0
February,2017,MS,C3,0
February,2017,PH1,T2,0.138
February,2017,PH1,U1,5.27
February,2017,PH1,U2,0.348
February,2017,PH1,U3,26.065
February,2017,PH1,C1,0
February,2017,PH1,C2,0
February,2017,PH1,C3,0
February,2017,PH1,T1,0
February,2017,PH1,T2,0
February,2017,PH1,T3,0
February,2017,RT,T1,2.649
February,2017,RT,U1,0.144
February,2017,RT,T2,0
February,2017,RT,U2,0.691
February,2017,RT,U3,0.661
February,2017,RT,T3,0
February,2017,RT,C1,0
February,2017,RT,C2,0
February,2017,RT,C3,0
February,2017,TP,U1,1.739
February,2017,TP,U2,0.796
February,2017,TP,U3,0.025
February,2017,TP,T1,0
February,2017,TP,T2,0
February,2017,TP,T3,0
February,2017,TP,C1,0
February,2017,TP,C2,0
February,2017,TP,C3,0
February,2017,WT1,T3,0.208
February,2017,WT1,U2,0.107
February,2017,WT1,U3,0.23
February,2017,WT1,T1,0
February,2017,WT1,T2,0
February,2017,WT1,U1,0
February,2017,WT1,C1,0
February,2017,WT1,C2,0
February,2017,WT1,C3,0
February,2017,WT2,T1,0.592
February,2017,WT2,U1,8.722
February,2017,WT2,U2,9.809
February,2017,WT2,T2,0
February,2017,WT2,T3,0
February,2017,WT2,U3,0
February,2017,WT2,C1,0
February,2017,WT2,C2,0
February,2017,WT2,C3,0
March,2017,RT,C1,0
March,2017,RT,C2,0
March,2017,RT,C3,0
March,2017,RT,T1,0.078
March,2017,RT,T2,0
March,2017,RT,T3,0
March,2017,RT,U1,1.545
March,2017,RT,U2,0
March,2017,RT,U3,0.173
March,2017,TP,C1,0
March,2017,TP,C2,0
March,2017,TP,C3,0
March,2017,TP,T1,0
March,2017,TP,T2,0.031
March,2017,TP,T3,0
March,2017,TP,U1,1.278
March,2017,TP,U2,0.179
March,2017,TP,U3,0.322
March,2017,CS,C1,0
March,2017,CS,C2,0
March,2017,CS,C3,0
March,2017,CS,T1,0
March,2017,CS,T2,0
March,2017,CS,T3,0
March,2017,CS,U1,0.211
March,2017,CS,U2,2.149
March,2017,CS,U3,0
March,2017,WT1,C1,0
March,2017,WT1,C2,0
March,2017,WT1,C3,0
March,2017,WT1,T1,0
March,2017,WT1,T2,0
March,2017,WT1,T3,0.029
March,2017,WT1,U1,0
March,2017,WT1,U2,0
March,2017,WT1,U3,0.006
March,2017,PH1,C1,0
March,2017,PH1,C2,0
March,2017,PH1,C3,0
March,2017,PH1,T1,0
March,2017,PH1,T2,0
March,2017,PH1,T3,0
March,2017,PH1,U1,0
March,2017,PH1,U2,0.19
March,2017,PH1,U3,16.68
March,2017,MS,C1,0
March,2017,MS,C2,0
March,2017,MS,C3,0
March,2017,MS,T1,0
March,2017,MS,T2,0
March,2017,MS,T3,0
March,2017,MS,U1,0.173
March,2017,MS,U2,0.806
March,2017,MS,U3,0
March,2017,WT2,C1,0
March,2017,WT2,C2,0
March,2017,WT2,C3,0
March,2017,WT2,T1,0
March,2017,WT2,T2,0
March,2017,WT2,T3,0
March,2017,WT2,U1,0.049
March,2017,WT2,U2,42.093
March,2017,WT2,U3,0
April,2017,RT,C1,0
April,2017,RT,C2,0
April,2017,RT,C3,0
April,2017,RT,T1,21.361
April,2017,RT,T2,3.407
April,2017,RT,T3,0
April,2017,RT,U1,30.213
April,2017,RT,U2,42.139
April,2017,RT,U3,140.935
April,2017,TP,C1,0
April,2017,TP,C2,0
April,2017,TP,C3,0
April,2017,TP,T1,7.906
April,2017,TP,T2,36.76
April,2017,TP,T3,3.499
April,2017,TP,U1,15.082
April,2017,TP,U2,16.963
April,2017,TP,U3,13.548
April,2017,CS,C1,0
April,2017,CS,C2,0
April,2017,CS,C3,0
April,2017,CS,T1,5.917
April,2017,CS,T2,0
April,2017,CS,T3,0
April,2017,CS,U1,0.409
April,2017,CS,U2,0
April,2017,CS,U3,8.347
April,2017,WT1,C1,0
April,2017,WT1,C2,0
April,2017,WT1,C3,0
April,2017,WT1,T1,0
April,2017,WT1,T2,0
April,2017,WT1,T3,11.459
April,2017,WT1,U1,0
April,2017,WT1,U2,7.127
April,2017,WT1,U3,1.478
April,2017,PH1,C1,0
April,2017,PH1,C2,0
April,2017,PH1,C3,0
April,2017,PH1,T1,18.164
April,2017,PH1,T2,0.035
April,2017,PH1,T3,3.787
April,2017,PH1,U1,68.488
April,2017,PH1,U2,19.316
April,2017,PH1,U3,69.707
April,2017,MS,C1,0
April,2017,MS,C2,0
April,2017,MS,C3,0
April,2017,MS,T1,0
April,2017,MS,T2,0.152
April,2017,MS,T3,0
April,2017,MS,U1,0.573
April,2017,MS,U2,0.141
April,2017,MS,U3,0.14
April,2017,WT2,C1,0
April,2017,WT2,C2,0
April,2017,WT2,C3,0
April,2017,WT2,T1,0.678
April,2017,WT2,T2,0
April,2017,WT2,T3,0
April,2017,WT2,U1,0
April,2017,WT2,U2,11.933
April,2017,WT2,U3,0
May,2017,RT,C1,0
May,2017,RT,C2,0
May,2017,RT,C3,0
May,2017,RT,T1,0
May,2017,RT,T2,0
May,2017,RT,T3,0
May,2017,RT,U1,0
May,2017,RT,U2,0
May,2017,RT,U3,0
May,2017,TP,C1,0
May,2017,TP,C2,0
May,2017,TP,C3,0
May,2017,TP,T1,7.535
May,2017,TP,T2,3.865
May,2017,TP,T3,23.626
May,2017,TP,U1,15.586
May,2017,TP,U2,10.931
May,2017,TP,U3,0
May,2017,CS,C1,0.022
May,2017,CS,C2,0
May,2017,CS,C3,0.951
May,2017,CS,T1,7.358
May,2017,CS,T2,0
May,2017,CS,T3,8.328
May,2017,CS,U1,3.011
May,2017,CS,U2,0
May,2017,CS,U3,0
May,2017,WT1,C1,0
May,2017,WT1,C2,0.06
May,2017,WT1,C3,0
May,2017,WT1,T1,0
May,2017,WT1,T2,0
May,2017,WT1,T3,3.788
May,2017,WT1,U1,8.724
May,2017,WT1,U2,5.679
May,2017,WT1,U3,5.174
May,2017,PH1,C1,31.1
May,2017,PH1,C2,0
May,2017,PH1,C3,0
May,2017,PH1,T1,32.437
May,2017,PH1,T2,0.082
May,2017,PH1,T3,19.255
May,2017,PH1,U1,20.579
May,2017,PH1,U2,12.964
May,2017,PH1,U3,18.59
May,2017,MS,C1,0
May,2017,MS,C2,0
May,2017,MS,C3,0
May,2017,MS,T1,0.292
May,2017,MS,T2,9.023
May,2017,MS,T3,0.267
May,2017,MS,U1,3.09
May,2017,MS,U2,2.557
May,2017,MS,U3,0.249
May,2017,WT2,C1,0
May,2017,WT2,C2,0
May,2017,WT2,C3,0
May,2017,WT2,T1,6.432
May,2017,WT2,T2,0
May,2017,WT2,T3,1.896
May,2017,WT2,U1,1.926
May,2017,WT2,U2,0.83
May,2017,WT2,U3,0
June,2017,RT,C1,0
June,2017,RT,C2,0
June,2017,RT,C3,0
June,2017,RT,T1,0
June,2017,RT,T2,0.763
June,2017,RT,T3,0.194
June,2017,RT,U1,1.552
June,2017,RT,U2,0
June,2017,RT,U3,0
June,2017,TP,C1,0
June,2017,TP,C2,0
June,2017,TP,C3,0
June,2017,TP,T1,0.084
June,2017,TP,T2,0.232
June,2017,TP,T3,2.865
June,2017,TP,U1,0
June,2017,TP,U2,0.209
June,2017,TP,U3,0.332
June,2017,CS,C1,1.023
June,2017,CS,C2,0
June,2017,CS,C3,0.111
June,2017,CS,T1,1.032
June,2017,CS,T2,0
June,2017,CS,T3,0
June,2017,CS,U1,0.43
June,2017,CS,U2,0
June,2017,CS,U3,0
June,2017,WT1,C1,0
June,2017,WT1,C2,0.13
June,2017,WT1,C3,0
June,2017,WT1,T1,0
June,2017,WT1,T2,0.105
June,2017,WT1,T3,1.368
June,2017,WT1,U1,0
June,2017,WT1,U2,2.269
June,2017,WT1,U3,0.692
June,2017,PH1,C1,0
June,2017,PH1,C2,0
June,2017,PH1,C3,0
June,2017,PH1,T1,18.52
June,2017,PH1,T2,0
June,2017,PH1,T3,2.498
June,2017,PH1,U1,1.766
June,2017,PH1,U2,2.973
June,2017,PH1,U3,2.816
June,2017,MS,C1,2.681
June,2017,MS,C2,0.649
June,2017,MS,C3,0.549
June,2017,MS,T1,0
June,2017,MS,T2,0.471
June,2017,MS,T3,0
June,2017,MS,U1,0
June,2017,MS,U2,0
June,2017,MS,U3,0
June,2017,WT2,C1,0
June,2017,WT2,C2,0
June,2017,WT2,C3,0
June,2017,WT2,T1,5.972
June,2017,WT2,T2,0.156
June,2017,WT2,T3,0
June,2017,WT2,U1,0
June,2017,WT2,U2,2.399
June,2017,WT2,U3,0
July,2017,RT,C1,0
July,2017,RT,C2,0
July,2017,RT,C3,0
July,2017,RT,T1,0.41
July,2017,RT,T2,0
July,2017,RT,T3,0.051
July,2017,RT,U1,1.897
July,2017,RT,U2,0
July,2017,RT,U3,0
July,2017,TP,C1,0
July,2017,TP,C2,0
July,2017,TP,C3,0
July,2017,TP,T1,0
July,2017,TP,T2,0.093
July,2017,TP,T3,0.202
July,2017,TP,U1,0.456
July,2017,TP,U2,0.031
July,2017,TP,U3,0
July,2017,CS,C1,0.142
July,2017,CS,C2,0
July,2017,CS,C3,0
July,2017,CS,T1,0.849
July,2017,CS,T2,0
July,2017,CS,T3,0
July,2017,CS,U1,0.921
July,2017,CS,U2,0
July,2017,CS,U3,0
July,2017,WT1,C1,0
July,2017,WT1,C2,0.316
July,2017,WT1,C3,0
July,2017,WT1,T1,0
July,2017,WT1,T2,0.487
July,2017,WT1,T3,0.319
July,2017,WT1,U1,0.348
July,2017,WT1,U2,0.4
July,2017,WT1,U3,0.308
July,2017,PH1,C1,0
July,2017,PH1,C2,0
July,2017,PH1,C3,0
July,2017,PH1,T1,0.833
July,2017,PH1,T2,0
July,2017,PH1,T3,0.236
July,2017,PH1,U1,0.876
July,2017,PH1,U2,1.163
July,2017,PH1,U3,0.601
July,2017,MS,C1,2.073
July,2017,MS,C2,74.972
July,2017,MS,C3,0.483
July,2017,MS,T1,0
July,2017,MS,T2,1.492
July,2017,MS,T3,0
July,2017,MS,U1,0.059
July,2017,MS,U2,0
July,2017,MS,U3,14.996
July,2017,WT2,C1,0
July,2017,WT2,C2,0
July,2017,WT2,C3,0
July,2017,WT2,T1,0.308
July,2017,WT2,T2,0
July,2017,WT2,T3,0
July,2017,WT2,U1,0
July,2017,WT2,U2,0.403
July,2017,WT2,U3,0
August,2017,RT,C1,0
August,2017,RT,C2,0
August,2017,RT,C3,0
August,2017,RT,T1,0
August,2017,RT,T2,0
August,2017,RT,T3,0
August,2017,RT,U1,0
August,2017,RT,U2,0
August,2017,RT,U3,0
August,2017,TP,C1,0
August,2017,TP,C2,0
August,2017,TP,C3,0
August,2017,TP,T1,0
August,2017,TP,T2,0
August,2017,TP,T3,0
August,2017,TP,U1,0
August,2017,TP,U2,0
August,2017,TP,U3,0
August,2017,CS,C1,0
August,2017,CS,C2,0
August,2017,CS,C3,0
August,2017,CS,T1,0
August,2017,CS,T2,0
August,2017,CS,T3,0
August,2017,CS,U1,0
August,2017,CS,U2,0
August,2017,CS,U3,0
August,2017,WT1,C1,0
August,2017,WT1,C2,0
August,2017,WT1,C3,0
August,2017,WT1,T1,0
August,2017,WT1,T2,0
August,2017,WT1,T3,0
August,2017,WT1,U1,0
August,2017,WT1,U2,0
August,2017,WT1,U3,0
August,2017,PH1,C1,0
August,2017,PH1,C2,0
August,2017,PH1,C3,0
August,2017,PH1,T1,0
August,2017,PH1,T2,0
August,2017,PH1,T3,0
August,2017,PH1,U1,0
August,2017,PH1,U2,0
August,2017,PH1,U3,0
August,2017,MS,C1,0
August,2017,MS,C2,0
August,2017,MS,C3,0
August,2017,MS,T1,0
August,2017,MS,T2,0
August,2017,MS,T3,0
August,2017,MS,U1,0
August,2017,MS,U2,0
August,2017,MS,U3,0
August,2017,WT2,C1,0
August,2017,WT2,C2,0
August,2017,WT2,C3,0
August,2017,WT2,T1,0
August,2017,WT2,T2,0
August,2017,WT2,T3,0
August,2017,WT2,U1,0
August,2017,WT2,U2,0
August,2017,WT2,U3,0
September,2017,RT,C1,0
September,2017,RT,C2,0
September,2017,RT,C3,0
September,2017,RT,T1,0
September,2017,RT,T2,0
September,2017,RT,T3,0
September,2017,RT,U1,0
September,2017,RT,U2,0
September,2017,RT,U3,0
September,2017,TP,C1,0
September,2017,TP,C2,0
September,2017,TP,C3,0
September,2017,TP,T1,0
September,2017,TP,T2,0
September,2017,TP,T3,0
September,2017,TP,U1,0
September,2017,TP,U2,0
September,2017,TP,U3,0
September,2017,CS,C1,0
September,2017,CS,C2,0
September,2017,CS,C3,0
September,2017,CS,T1,0
September,2017,CS,T2,0
September,2017,CS,T3,0
September,2017,CS,U1,0
September,2017,CS,U2,0
September,2017,CS,U3,0
September,2017,WT1,C1,0
September,2017,WT1,C2,0
September,2017,WT1,C3,0
September,2017,WT1,T1,0
September,2017,WT1,T2,0
September,2017,WT1,T3,0
September,2017,WT1,U1,0
September,2017,WT1,U2,0
September,2017,WT1,U3,0
September,2017,PH1,C1,0
September,2017,PH1,C2,0
September,2017,PH1,C3,0
September,2017,PH1,T1,0
September,2017,PH1,T2,0
September,2017,PH1,T3,0
September,2017,PH1,U1,0
September,2017,PH1,U2,0
September,2017,PH1,U3,0
September,2017,MS,C1,0
September,2017,MS,C2,0
September,2017,MS,C3,0
September,2017,MS,T1,0
September,2017,MS,T2,0
September,2017,MS,T3,0
September,2017,MS,U1,0
September,2017,MS,U2,0
September,2017,MS,U3,0
September,2017,WT2,C1,0
September,2017,WT2,C2,0
September,2017,WT2,C3,0
September,2017,WT2,T1,0
September,2017,WT2,T2,0
September,2017,WT2,T3,0
September,2017,WT2,U1,0
September,2017,WT2,U2,0
September,2017,WT2,U3,0
October,2017,RT,C1,0
October,2017,RT,C2,0
October,2017,RT,C3,0
October,2017,RT,T1,0
October,2017,RT,T2,0
October,2017,RT,T3,0
October,2017,RT,U1,0
October,2017,RT,U2,0
October,2017,RT,U3,0
October,2017,TP,C1,0
October,2017,TP,C2,0
October,2017,TP,C3,0
October,2017,TP,T1,0
October,2017,TP,T2,0
October,2017,TP,T3,0
October,2017,TP,U1,0
October,2017,TP,U2,0
October,2017,TP,U3,0
October,2017,CS,C1,0
October,2017,CS,C2,0
October,2017,CS,C3,0
October,2017,CS,T1,0
October,2017,CS,T2,0
October,2017,CS,T3,0
October,2017,CS,U1,0
October,2017,CS,U2,0
October,2017,CS,U3,0
October,2017,WT1,C1,0
October,2017,WT1,C2,0
October,2017,WT1,C3,0
October,2017,WT1,T1,0
October,2017,WT1,T2,0
October,2017,WT1,T3,0
October,2017,WT1,U1,0
October,2017,WT1,U2,0
October,2017,WT1,U3,0
October,2017,PH1,C1,0
October,2017,PH1,C2,0
October,2017,PH1,C3,0
October,2017,PH1,T1,0
October,2017,PH1,T2,0
October,2017,PH1,T3,0
October,2017,PH1,U1,0
October,2017,PH1,U2,0
October,2017,PH1,U3,0
October,2017,MS,C1,0
October,2017,MS,C2,0
October,2017,MS,C3,0
October,2017,MS,T1,0
October,2017,MS,T2,0
October,2017,MS,T3,0
October,2017,MS,U1,0
October,2017,MS,U2,0
October,2017,MS,U3,0
October,2017,WT2,C1,0
October,2017,WT2,C2,0
October,2017,WT2,C3,0
October,2017,WT2,T1,0
October,2017,WT2,T2,0
October,2017,WT2,T3,0
October,2017,WT2,U1,0
October,2017,WT2,U2,0
October,2017,WT2,U3,0
November,2017,RT,C1,0
November,2017,RT,C2,0
November,2017,RT,C3,0
November,2017,RT,T1,0
November,2017,RT,T2,0
November,2017,RT,T3,0
November,2017,RT,U1,0
November,2017,RT,U2,0
November,2017,RT,U3,0
November,2017,TP,C1,0
November,2017,TP,C2,0
November,2017,TP,C3,0
November,2017,TP,T1,0
November,2017,TP,T2,0
November,2017,TP,T3,0
November,2017,TP,U1,0
November,2017,TP,U2,0
November,2017,TP,U3,0
November,2017,CS,C1,0
November,2017,CS,C2,0
November,2017,CS,C3,0
November,2017,CS,T1,0
November,2017,CS,T2,0
November,2017,CS,T3,0
November,2017,CS,U1,0
November,2017,CS,U2,0
November,2017,CS,U3,0
November,2017,WT1,C1,0
November,2017,WT1,C2,0
November,2017,WT1,C3,0
November,2017,WT1,T1,0
November,2017,WT1,T2,0
November,2017,WT1,T3,0
November,2017,WT1,U1,0
November,2017,WT1,U2,0
November,2017,WT1,U3,0
November,2017,PH1,C1,0
November,2017,PH1,C2,0
November,2017,PH1,C3,0
November,2017,PH1,T1,0.09
November,2017,PH1,T2,0
November,2017,PH1,T3,0
November,2017,PH1,U1,0
November,2017,PH1,U2,0
November,2017,PH1,U3,0
November,2017,MS,C1,0
November,2017,MS,C2,0
November,2017,MS,C3,0.28
November,2017,MS,T1,0
November,2017,MS,T2,0.47
November,2017,MS,T3,0
November,2017,MS,U1,0
November,2017,MS,U2,0
November,2017,MS,U3,0
November,2017,WT2,C1,0
November,2017,WT2,C2,0
November,2017,WT2,C3,0
November,2017,WT2,T1,0
November,2017,WT2,T2,0
November,2017,WT2,T3,0
November,2017,WT2,U1,0
November,2017,WT2,U2,0
November,2017,WT2,U3,0
December,2017,RT,C1,0
December,2017,RT,C2,0
December,2017,RT,C3,0
December,2017,RT,T1,0
December,2017,RT,T2,0
December,2017,RT,T3,0
December,2017,RT,U1,0
December,2017,RT,U2,0
December,2017,RT,U3,0
December,2017,TP,C1,0
December,2017,TP,C2,0
December,2017,TP,C3,0
December,2017,TP,T1,0
December,2017,TP,T2,0
December,2017,TP,T3,0
December,2017,TP,U1,0
December,2017,TP,U2,0
December,2017,TP,U3,0
December,2017,CS,C1,0
December,2017,CS,C2,0
December,2017,CS,C3,0
December,2017,CS,T1,0
December,2017,CS,T2,0
December,2017,CS,T3,0
December,2017,CS,U1,0
December,2017,CS,U2,0
December,2017,CS,U3,0
December,2017,WT1,C1,0
December,2017,WT1,C2,0
December,2017,WT1,C3,0
December,2017,WT1,T1,0
December,2017,WT1,T2,0
December,2017,WT1,T3,0
December,2017,WT1,U1,0
December,2017,WT1,U2,0
December,2017,WT1,U3,0
December,2017,PH1,C1,0
December,2017,PH1,C2,0
December,2017,PH1,C3,0
December,2017,PH1,T1,0
December,2017,PH1,T2,0
December,2017,PH1,T3,0
December,2017,PH1,U1,0
December,2017,PH1,U2,0
December,2017,PH1,U3,0
December,2017,MS,C1,1.15
December,2017,MS,C2,0
December,2017,MS,C3,0.12
December,2017,MS,T1,0
December,2017,MS,T2,0
December,2017,MS,T3,0.23
December,2017,MS,U1,0.05
December,2017,MS,U2,0
December,2017,MS,U3,0
December,2017,WT2,C1,0
December,2017,WT2,C2,0
December,2017,WT2,C3,0
December,2017,WT2,T1,0
December,2017,WT2,T2,0
December,2017,WT2,T3,0
December,2017,WT2,U1,0
December,2017,WT2,U2,0
December,2017,WT2,U3,0
January,2018,RT,C1,0
January,2018,RT,C2,0
January,2018,RT,C3,0
January,2018,RT,T1,0
January,2018,RT,T2,0
January,2018,RT,T3,0
January,2018,RT,U1,0
January,2018,RT,U2,0
January,2018,RT,U3,0
January,2018,TP,C1,0
January,2018,TP,C2,0
January,2018,TP,C3,0
January,2018,TP,T1,0
January,2018,TP,T2,0
January,2018,TP,T3,0
January,2018,TP,U1,0
January,2018,TP,U2,0
January,2018,TP,U3,0
January,2018,CS,C1,0
January,2018,CS,C2,0
January,2018,CS,C3,0
January,2018,CS,T1,0
January,2018,CS,T2,0
January,2018,CS,T3,0
January,2018,CS,U1,0
January,2018,CS,U2,0
January,2018,CS,U3,0
January,2018,WT1,C1,0
January,2018,WT1,C2,0
January,2018,WT1,C3,0
January,2018,WT1,T1,0
January,2018,WT1,T2,0
January,2018,WT1,T3,0
January,2018,WT1,U1,0
January,2018,WT1,U2,0
January,2018,WT1,U3,0
January,2018,PH1,C1,0
January,2018,PH1,C2,0
January,2018,PH1,C3,0
January,2018,PH1,T1,0
January,2018,PH1,T2,0.33
January,2018,PH1,T3,0
January,2018,PH1,U1,2.29
January,2018,PH1,U2,0.18
January,2018,PH1,U3,0
January,2018,MS,C1,0
January,2018,MS,C2,0
January,2018,MS,C3,0
January,2018,MS,T1,0
January,2018,MS,T2,0
January,2018,MS,T3,0
January,2018,MS,U1,0
January,2018,MS,U2,0.52
January,2018,MS,U3,0
January,2018,WT2,C1,0
January,2018,WT2,C2,0
January,2018,WT2,C3,0
January,2018,WT2,T1,0
January,2018,WT2,T2,0
January,2018,WT2,T3,0
January,2018,WT2,U1,0
January,2018,WT2,U2,0
January,2018,WT2,U3,0
February,2018,RT,C1,0
February,2018,RT,C2,0
February,2018,RT,C3,0
February,2018,RT,T1,0.97
February,2018,RT,T2,0
February,2018,RT,T3,0
February,2018,RT,U1,0
February,2018,RT,U2,2.3
February,2018,RT,U3,17.57
February,2018,TP,C1,0
February,2018,TP,C2,0
February,2018,TP,C3,0
February,2018,TP,T1,0.06
February,2018,TP,T2,0.69
February,2018,TP,T3,0.27
February,2018,TP,U1,0.51
February,2018,TP,U2,0.95
February,2018,TP,U3,0.13
February,2018,CS,C1,0.08
February,2018,CS,C2,0
February,2018,CS,C3,0
February,2018,CS,T1,0.34
February,2018,CS,T2,0.26
February,2018,CS,T3,0.29
February,2018,CS,U1,0
February,2018,CS,U2,0.48
February,2018,CS,U3,0
February,2018,WT1,C1,0.1
February,2018,WT1,C2,0.02
February,2018,WT1,C3,0
February,2018,WT1,T1,0
February,2018,WT1,T2,0
February,2018,WT1,T3,0.3
February,2018,WT1,U1,0
February,2018,WT1,U2,3.74
February,2018,WT1,U3,0
February,2018,PH1,C1,1.8
February,2018,PH1,C2,0.75
February,2018,PH1,C3,0.77
February,2018,PH1,T1,5.98
February,2018,PH1,T2,0.74
February,2018,PH1,T3,1.82
February,2018,PH1,U1,17.21
February,2018,PH1,U2,2.96
February,2018,PH1,U3,11.33
February,2018,MS,C1,0
February,2018,MS,C2,0
February,2018,MS,C3,0
February,2018,MS,T1,0.58
February,2018,MS,T2,0
February,2018,MS,T3,0
February,2018,MS,U1,0
February,2018,MS,U2,0
February,2018,MS,U3,0
